index,audio_filename,duration_sec,start_timecode,end_timecode,duration_frames,is_scene_start,scene_lead_in_sec,speaker,text
1,OrionEp29_001.mp3,8.21,00:00:00:00,00:00:08:06,246,NO,0.00,kore,<sub alias='メール'>email</sub>を打ちながら、会議に出席し、<sub alias='チャット'>chat</sub>に返信する。「同時進行」は有能の証——本当でしょうか。
2,OrionEp29_002.mp3,4.89,00:00:08:16,00:00:13:12,146,NO,0.00,kore,それとも、私たちは「何か」から逃げ続けているだけなのでしょうか。
3,OrionEp29_003.mp3,6.73,00:00:13:22,00:00:20:14,201,NO,0.00,kore,ようこそ、<sub alias='オリオン'>Orion</sub>の会議室へ。今夜のテーマは「<sub alias='マルチタスク'>multitask</sub>という幻想」。
4,OrionEp29_004.mp3,6.73,00:00:20:24,00:00:27:16,201,NO,0.00,kore,<sub alias='ここんとうざい'>古今東西</sub>の叡智を星座のように結び、現代の悩みに新しい視座を見つける8分間。
5,OrionEp29_005.mp3,6.05,00:00:27:26,00:00:33:27,181,NO,0.00,kore,今夜めぐる星々は——「脳は同時に二つのことを処理できない」という発見。
6,OrionEp29_006.mp3,9.97,00:00:34:07,00:00:44:06,298,NO,0.00,kore,「人間の不幸は、部屋でじっとしていられないことから起こる」という洞察。「一つの行為に没入せよ」という禅の教え。
7,OrionEp29_007.mp3,10.61,00:00:44:16,00:00:55:04,318,NO,0.00,kore,そして、「自分だけの裏店を持て」という知恵。バラバラの星々が、「<sub alias='マルチタスク'>multitask</sub>」という現代の神話を静かに解体し始めます。
8,OrionEp29_008.mp3,11.13,00:00:55:14,00:01:06:17,333,NO,0.00,aoede,午前10時。<sub alias='デスク'>desk</sub>に座る。画面には<sub alias='メール・ソフト'>email software</sub>、<sub alias='チャット・ツール'>chat tool</sub>、<sub alias='スプレッドシート'>spreadsheet</sub>、<sub alias='ブラウザ'>browser</sub>が4分割で並んでいる。
9,OrionEp29_009.mp3,4.81,00:01:06:27,00:01:11:22,144,NO,0.00,aoede,<sub alias='メール'>email</sub>を書き始める。<sub alias='チャット'>chat</sub>が鳴る。「至急確認お願いします」
10,OrionEp29_010.mp3,6.17,00:01:12:02,00:01:18:07,184,NO,0.00,aoede,<sub alias='チャット'>chat</sub>に返信する。すると別の<sub alias='メール'>email</sub>が届く。「先ほどの件、進捗いかがですか」
11,OrionEp29_011.mp3,5.29,00:01:18:17,00:01:23:25,158,NO,0.00,aoede,<sub alias='スプレッドシート'>spreadsheet</sub>を開く。数字を入力しかけたところで、会議の通知。
12,OrionEp29_012.mp3,11.05,00:01:24:05,00:01:35:06,331,NO,0.00,aoede,会議に入る。<sub alias='カメラ'>camera</sub>は<sub alias='オフ'>off</sub>。別の<sub alias='メール'>email</sub>を処理しながら聞いている。
13,OrionEp29_013.mp3,7.41,00:01:35:16,00:01:42:28,222,NO,0.00,aoede,気づけば正午。「今日、何をしたんだろう」<sub alias='タスク・リスト'>task list</sub>は減っていない。でも、疲労だけは確実に溜まっている。
14,OrionEp29_014.mp3,4.57,00:01:43:08,00:01:47:25,136,NO,0.00,kore,そして、ふと訪れる静寂が、なぜか怖い。
15,OrionEp29_015.mp3,12.93,00:01:48:05,00:02:01:03,387,NO,0.00,kore,1958年、<sub alias='イギリス'>Britain</sub>・<sub alias='ケンブリッジ'>Cambridge</sub>。認知心理学者<sub alias='ドナルド・ブロードベント'>Donald Broadbent</sub>は、第二次大戦中の航空管制官の研究から、ある疑問を抱いていました。
16,OrionEp29_016.mp3,14.77,00:02:01:13,00:02:16:06,442,NO,0.00,kore,複数の情報が同時に飛び込んでくる時、人間の脳は何を選び、何を捨てているのか。彼は「両耳分離聴」という実験を設計しました。被験者の左右の耳に、同時に異なる<sub alias='メッセージ'>message</sub>を流す。
17,OrionEp29_017.mp3,4.53,00:02:16:16,00:02:21:01,135,NO,0.00,charon,「私たちが情報を受け取り、処理できる速度には限界がある」
