index,audio_filename,duration_sec,start_timecode,end_timecode,duration_frames,is_scene_start,scene_lead_in_sec,speaker,text
1,OrionEp19_001.mp3,2.61,00:00:00:00,00:00:02:18,78,NO,0.00,aoede,会議で、すぐに意見が出てこない。
2,OrionEp19_002.mp3,2.61,00:00:02:28,00:00:05:16,78,NO,0.00,aoede,隣の人はすらすら話している……
3,OrionEp19_003.mp3,2.85,00:00:05:26,00:00:08:21,85,NO,0.00,kore,その沈黙は、空白なのか。
4,OrionEp19_004.mp3,2.57,00:00:09:01,00:00:11:18,77,NO,0.00,kore,それとも、まだ言葉にならない何かが——
5,OrionEp19_005.mp3,2.85,00:00:11:28,00:00:14:24,85,NO,0.00,kore,形を結ぼうとしている時間なのか？
6,OrionEp19_006.mp3,2.21,00:00:15:04,00:00:17:10,66,NO,0.00,kore,ようこそ、オリオンの会議室へ。
7,OrionEp19_007.mp3,3.29,00:00:17:20,00:00:20:29,98,NO,0.00,kore,今夜のケースは「沈黙の重力」。
8,OrionEp19_008.mp3,3.57,00:00:21:09,00:00:24:26,107,NO,0.00,kore,古今東西の叡智を星座のように結び——
9,OrionEp19_009.mp3,3.81,00:00:25:06,00:00:29:00,114,NO,0.00,kore,現代の悩みに新しい視座を見つける8分間。
10,OrionEp19_010.mp3,2.09,00:00:29:10,00:00:31:13,62,NO,0.00,kore,今夜めぐる星々は——
11,OrionEp19_011.mp3,4.21,00:00:31:23,00:00:35:29,126,NO,0.00,kore,思考を外に出すタイミングには「型」があるという発見。
12,OrionEp19_012.mp3,3.89,00:00:36:09,00:00:40:06,116,NO,0.00,kore,見えないのに空間を歪める「重力」という力。
13,OrionEp19_013.mp3,4.41,00:00:40:16,00:00:44:28,132,NO,0.00,kore,「永遠の相」という、構造全体を俯瞰する眼差し。
14,OrionEp19_014.mp3,5.85,00:00:45:08,00:00:51:03,175,NO,0.00,kore,そして、言葉を超えた沈黙が雄弁に語るという逆説。
15,OrionEp19_015.mp3,3.53,00:00:51:13,00:00:54:29,105,NO,0.00,kore,バラバラの星々が、「即レス」の時代に——
16,OrionEp19_016.mp3,3.21,00:00:55:09,00:00:58:15,96,NO,0.00,kore,沈黙の重力を照らし始めます。
17,OrionEp19_017.mp3,3.73,00:00:58:25,00:01:02:17,111,NO,0.00,aoede,月曜日の定例会議。議題が提示される。
18,OrionEp19_018.mp3,3.05,00:01:02:27,00:01:05:28,91,NO,0.00,aoede,「このプロジェクトについて、意見はありますか？」
19,OrionEp19_019.mp3,2.77,00:01:06:08,00:01:09:01,83,NO,0.00,aoede,隣の先輩は即座に手を挙げる。
20,OrionEp19_020.mp3,2.29,00:01:09:11,00:01:11:20,68,NO,0.00,aoede,自分の頭は真っ白だ……
21,OrionEp19_021.mp3,3.13,00:01:12:00,00:01:15:04,93,NO,0.00,kore,20世紀初頭、スイス・チューリッヒ。
22,OrionEp19_022.mp3,2.73,00:01:15:14,00:01:18:06,81,NO,0.00,charon,精神科医カール・グスタフ・ユングは——
23,OrionEp19_023.mp3,3.61,00:01:18:16,00:01:22:04,108,NO,0.00,charon,師フロイトとの決別という痛みを抱えていました。
24,OrionEp19_024.mp3,3.01,00:01:22:14,00:01:25:14,90,NO,0.00,charon,精神分析の後継者と目されながら——
