index,audio_filename,duration_sec,start_timecode,end_timecode,duration_frames,is_scene_start,scene_lead_in_sec,speaker,text
1,OrionEp21_001.mp3,8.48,00:00:00:00,00:00:08:14,254,NO,0.00,kore,「大胆に攻めてくれ」と言われた直後に、「慎重にね」と言われる。どちらを選んでも、どちらかに怒られる——
2,OrionEp21_002.mp3,5.11,00:00:08:24,00:00:13:27,153,NO,0.00,kore,そんな板挟みに、身動きが取れなくなったことはありませんか？
3,OrionEp21_003.mp3,6.93,00:00:14:07,00:00:21:04,207,NO,0.00,kore,ようこそ、<sub alias='オリオン'>Orion</sub>の会議室へ。今夜のテーマは「板挟みの幾何学」。
4,OrionEp21_004.mp3,7.46,00:00:21:14,00:00:28:28,223,NO,0.00,kore,<sub alias='ここんとうざい'>古今東西</sub>の叡智を星座のように結び、現代の悩みに新しい視座を見つける8分間。
5,OrionEp21_005.mp3,7.60,00:00:29:08,00:00:36:26,227,NO,0.00,kore,今夜めぐる星々は——矛盾する<sub alias='メッセージ'>message</sub>に閉じ込められる「二重拘束」という構造。
6,OrionEp21_006.mp3,12.23,00:00:37:06,00:00:49:12,366,NO,0.00,kore,他者の命令ではなく、自らの理性に従う「自律」という尊厳。臨界点を超えた瞬間、質が一気に変わる「相転移」という跳躍。
7,OrionEp21_007.mp3,11.11,00:00:49:22,00:01:00:25,332,NO,0.00,kore,そして、「片手の音を聞け」という禅の問い。バラバラの星々が、「AかBか」という問いそのものを揺さぶり始めます。
8,OrionEp21_008.mp3,7.45,00:01:01:05,00:01:08:19,223,NO,0.00,aoede,金曜の夕方。部長から<sub alias='メール'>mail</sub>が来る。「来週の企画書、もっと大胆に攻めてくれ」
9,OrionEp21_009.mp3,8.26,00:01:08:29,00:01:17:06,247,NO,0.00,aoede,返信しようとした瞬間、課長が席に来る。「あの企画、<sub alias='リスク'>risk</sub>管理の観点から慎重にね」
10,OrionEp21_010.mp3,8.48,00:01:17:16,00:01:26:00,254,NO,0.00,aoede,大胆に攻めろ。でも慎重に。どっちなんですか、と聞きたい。でも聞けない。
11,OrionEp21_011.mp3,4.08,00:01:26:10,00:01:30:12,122,NO,0.00,aoede,「どちらかを選べば、どちらかに怒られる」
12,OrionEp21_012.mp3,3.98,00:01:30:22,00:01:34:22,119,NO,0.00,kore,その構造の中で、身動きが取れなくなっていく。
13,OrionEp21_013.mp3,7.67,00:01:35:02,00:01:42:21,229,NO,0.00,kore,1950年代、<sub alias='カリフォルニア'>California</sub>・<sub alias='パロアルト'>Palo Alto</sub>。人類学者<sub alias='グレゴリー・ベイトソン'>Gregory Bateson</sub>は——
14,OrionEp21_014.mp3,6.26,00:01:43:01,00:01:49:09,187,NO,0.00,kore,統合失調症の患者と、面会に来た母親の会話を観察していました。
15,OrionEp21_015.mp3,9.82,00:01:49:19,00:01:59:13,294,NO,0.00,kore,母親が息子を抱きしめる。息子が身を固くする。母親が言う。「私を愛していないの？」
16,OrionEp21_016.mp3,11.81,00:01:59:23,00:02:11:17,354,NO,0.00,kore,<sub alias='ベイトソン'>Bateson</sub>は気づきました。母親の言葉は「愛情」を求めている。しかし、その硬い表情と声の<sub alias='トーン'>tone</sub>は「近づくな」と言っている。
17,OrionEp21_017.mp3,8.52,00:02:11:27,00:02:20:13,255,NO,0.00,kore,息子はどちらに従えばいい？　抱きしめ返せば「空気が読めない」。離れれば「冷たい子」。
18,OrionEp21_018.mp3,6.43,00:02:20:23,00:02:27:06,192,NO,0.00,kore,彼はこの構造に名前をつけました。「<sub alias='ダブルバインド'>double bind</sub>（二重拘束）」。
19,OrionEp21_019.mp3,4.95,00:02:27:16,00:02:32:14,148,NO,0.00,charon,「『犠牲者』は、その<sub alias='コミュニケーション'>communication</sub>自体について語ることができない」
20,OrionEp21_020.mp3,37.01,00:02:32:24,00:03:09:23,1109,NO,0.00,kore,矛盾する二つの<sub alias='メッセージ'>message</sub>を同時に受け取り、どちらにも従えず、しかもその場から逃げられない状態。さらに厄介なのは、「この状況おかしくないですか？」と問うこと自体が許されないこと。生活のため、責任のため、逃げることも許されない。その拘束の中で矛盾を突きつけられる時、心は悲鳴を上げます。問題は、<sub alias='メッセージ'>message</sub>の「内容」ではありません。「どちらを選んでも罰せられる」という構造そのものが、人を追い詰めるのです。
21,OrionEp21_021.mp3,3.85,00:03:10:03,00:03:13:29,115,NO,0.00,kore,では、その迷路から抜け出す鍵はどこにあるのか。
22,OrionEp21_022.mp3,9.05,00:03:14:09,00:03:23:10,271,NO,0.00,kore,18世紀、ドイツ・<sub alias='ケーニヒスベルク'>Königsberg</sub>。生涯この街を離れなかった哲学者<sub alias='イマヌエル・カント'>Immanuel Kant</sub>は——
23,OrionEp21_023.mp3,4.58,00:03:23:20,00:03:28:07,137,NO,0.00,kore,人間の尊厳の根拠を「自律」に置きました。
24,OrionEp21_024.mp3,6.88,00:03:28:17,00:03:35:13,206,NO,0.00,charon,「意志の自律とは、意志がそれ自身に対して法則となるという性質である」
25,OrionEp21_025.mp3,17.02,00:03:35:23,00:03:52:23,510,NO,0.00,kore,上司Aの命令に従う。それは「他律」です。上司Bの命令に従う。それも「他律」。では、「自律」とは何か。どちらの命令が、自分の理性から見て正しいのかを、自分で判断すること。
